Item Description,Thickness,Length,Width,Height,Outside Diameter,Inside Diameter,Angle,Size,Volume,Weight,Grade,Volts,Plates,Part Number,Color,Specification,UOM,Sub Item Group,Item Group,Inventory Type
,,,,,,,,,,,,,,,,,,,,Inventoriable
,,,,,,,,,,,,,,,,,,,,Inventoriable
,,,,,,,,,,,,,,,,,,,,Inventoriable
,,,,,,,,,,,,,,,,,,,,Inventoriable
,,,,,,,,,,,,,,,,,,,,Inventoriable
,,,,,,,,,,,,,,,,,,,,Inventoriable
,,,,,,,,,,,,,,,,,,,,Inventoriable
,,,,,,,,,,,,,,,,,,,,Inventoriable
,,,,,,,,,,,,,,,,,,,,Inventoriable
,,,,,,,,,,,,,,,,,,,,Inventoriable
,,,,,,,,,,,,,,,,,,,,Inventoriable
,,,,,,,,,,,,,,,,,,,,Inventoriable
,,,,,,,,,,,,,,,,,,,,Inventoriable
,,,,,,,,,,,,,,,,,,,,Inventoriable
,,,,,,,,,,,,,,,,,,,,Inventoriable
,,,,,,,,,,,,,,,,,,,,Inventoriable
,,,,,,,,,,,,,,,,,,,,Inventoriable
,,,,,,,,,,,,,,,,,,,,Inventoriable
,,,,,,,,,,,,,,,,,,,,Inventoriable
,,,,,,,,,,,,,,,,,,,,Inventoriable
,,,,,,,,,,,,,,,,,,,,Inventoriable
,,,,,,,,,,,,,,,,,,,,Inventoriable
,,,,,,,,,,,,,,,,,,,,Inventoriable
,,,,,,,,,,,,,,,,,,,,Inventoriable
